"logRe_J" "logIe_J" "logsigma" "elogRe_J" "elogIe_J" "elogsigma"
0.321 2.875 2.144 0.064 0.095 0.098
0.245 3.228 2.136 0.058 0.087 0.055
0.791 2.838 2.403 0.032 0.048 0.017
0.043 3.678 2.347 0.054 0.08 0.046
0.074 3.476 2.347 0.06 0.089 0.056
0.246 3.24 2.306 0.055 0.082 0.028
-0.027 3.504 2.152 0.063 0.093 0.069
0.435 3.06 2.402 0.047 0.07 0.027
0.019 3.198 2.151 0.044 0.066 0.03
0.446 3.18 2.377 0.039 0.057 0.026
0.217 3.141 2.228 0.06 0.088 0.044
0.37 2.974 2.274 0.062 0.091 0.04
0.5 2.846 2.285 0.053 0.078 0.052
0.219 3.371 2.328 0.058 0.086 0.067
0.38 3.034 2.129 0.055 0.081 0.061
0.31 3.188 2.206 0.056 0.083 0.032
0.232 3.391 2.255 0.032 0.048 0.044
0.234 3.204 2.133 0.062 0.092 0.085
0.268 2.936 2.199 0.035 0.052 0.05
0.326 2.829 2.126 0.064 0.095 0.089
0.565 2.708 2.145 0.032 0.048 0.031
0.46 2.807 2.234 0.035 0.052 0.033
0.008 3.291 2.09 0.058 0.086 0.054
0.248 3.461 2.165 0.044 0.065 0.089
0.258 3.015 2.199 0.061 0.091 0.126
0.834 2.573 2.234 0.032 0.048 0.023
0.485 2.865 2.262 0.058 0.086 0.088
0.186 2.98 2.056 0.036 0.054 0.068
0.09 3.364 2.136 0.043 0.063 0.04
0.402 2.896 2.084 0.032 0.048 0.06
0.343 2.909 2.2 0.036 0.054 0.032
0.519 2.813 2.063 0.038 0.056 0.091
0.114 3.532 2.451 0.06 0.089 0.034
0.209 3.325 2.317 0.035 0.051 0.02
0.48 3.037 2.385 0.05 0.074 0.034
0.6 2.786 2.182 0.049 0.072 0.064
0.156 3.183 2.239 0.044 0.066 0.044
-0.18 3.415 2.244 0.048 0.072 0.03
0.139 3.264 2.14 0.062 0.092 0.082
0.153 3.253 2.069 0.061 0.09 0.072
0.348 2.748 2.084 0.035 0.052 0.072
0.218 3.257 2.278 0.056 0.083 0.084
0.527 2.929 2.385 0.052 0.077 0.041
-0.021 3.577 2.23 0.032 0.048 0.046
0.053 3.364 2.187 0.032 0.048 0.03
-0.086 3.386 2.096 0.042 0.062 0.049
0.481 2.845 2.186 0.032 0.048 0.028
-0.008 3.423 2.128 0.061 0.09 0.106
0.032 3.421 2.316 0.049 0.072 0.037
0.37 3.059 2.26 0.032 0.048 0.022
0.129 3.276 2.184 0.032 0.048 0.045
0.36 3.195 2.137 0.039 0.057 0.092
0.659 3.009 2.461 0.035 0.052 0.054
0.1 3.456 2.31 0.048 0.071 0.031
-0.111 3.539 2.12 0.042 0.063 0.05
0.641 2.742 2.363 0.041 0.06 0.037
0.484 2.706 2.223 0.06 0.089 0.09
0.256 3.383 2.201 0.052 0.077 0.042
0.532 2.862 2.167 0.051 0.076 0.088
0.562 2.984 2.391 0.042 0.062 0.036
0.706 2.456 2.241 0.054 0.081 0.103
0.313 3.195 2.168 0.05 0.074 0.056
0.417 2.832 2.082 0.032 0.048 0.054
0.494 3.006 2.346 0.032 0.048 0.024
0.295 3.181 2.285 0.059 0.088 0.061
0.421 3.064 2.301 0.054 0.08 0.053
0.175 3.402 2.299 0.032 0.048 0.015
0.215 3.477 2.28 0.052 0.077 0.026
0.244 3.142 2.171 0.047 0.07 0.055
0.243 3.181 2.268 0.047 0.07 0.034
0.217 3.432 2.285 0.055 0.081 0.048
0.178 2.822 2.106 0.064 0.095 0.12
0.249 3.256 2.339 0.032 0.048 0.023
0.619 2.573 2.057 0.053 0.079 0.09
0.599 2.746 2.205 0.035 0.053 0.031
0.092 3.427 2.275 0.032 0.048 0.024
0.476 3.083 2.176 0.045 0.066 0.078
0.043 3.347 2.271 0.033 0.049 0.023
-0.014 3.328 2.132 0.038 0.057 0.08
0.395 3.219 2.263 0.049 0.072 0.035
0.26 3.289 2.097 0.032 0.048 0.083
0.563 3.258 2.636 0.032 0.048 0.043
0.263 3.224 2.207 0.057 0.084 0.055
0.635 2.876 2.335 0.041 0.061 0.027
0.342 3.214 2.402 0.032 0.048 0.018
0.611 2.753 2.307 0.032 0.048 0.028
0.474 3.141 2.312 0.042 0.062 0.024
-0.007 3.094 2.141 0.047 0.07 0.039
0.252 3.248 2.394 0.057 0.084 0.057
0.186 3.272 2.13 0.032 0.048 0.034
0.047 3.205 2.069 0.038 0.057 0.05
-0.294 3.405 2.135 0.059 0.088 0.079
0.434 3.225 2.279 0.038 0.057 0.053
0.008 3.337 2.083 0.06 0.088 0.112
0.404 2.953 2.127 0.032 0.048 0.029
0.261 3.235 2.185 0.032 0.048 0.015
-0.153 3.521 2.287 0.064 0.094 0.046
0.407 2.945 2.183 0.041 0.061 0.039
0.246 3.302 2.311 0.057 0.084 0.042
0.435 2.869 2.215 0.061 0.09 0.074
0.256 3.127 2.127 0.063 0.094 0.089
0.612 2.982 2.324 0.04 0.06 0.059
0.243 3.264 2.13 0.058 0.086 0.065
0.329 3.132 2.246 0.051 0.076 0.047
0.233 3.1 2.228 0.032 0.048 0.022
0.406 2.545 2.179 0.036 0.053 0.108
0.291 3.325 2.249 0.055 0.081 0.047
0.349 2.998 2.207 0.045 0.066 0.041
-0.037 3.244 2.118 0.044 0.066 0.035
0.333 2.937 2.229 0.059 0.087 0.067
0.716 2.903 2.423 0.032 0.048 0.024
0.355 2.797 2.07 0.064 0.094 0.166
-0.109 3.572 2.153 0.059 0.087 0.077
0.503 2.976 2.38 0.052 0.077 0.043
0.286 3.156 2.302 0.054 0.08 0.033
0.241 3.143 2.284 0.032 0.048 0.04
-0.113 3.072 2.087 0.051 0.076 0.049
0.333 3.269 2.38 0.045 0.067 0.026
0.287 3.143 2.297 0.032 0.048 0.019
0.034 3.475 2.303 0.045 0.066 0.023
0.748 2.831 2.311 0.037 0.055 0.023
0.697 2.7 2.18 0.038 0.056 0.05
0.689 2.677 2.398 0.039 0.058 0.073
0.18 3.18 2.114 0.032 0.048 0.034
-0.355 3.727 2.134 0.05 0.074 0.097
0.346 3.162 2.245 0.032 0.048 0.021
-0.119 3.408 2.257 0.053 0.078 0.032
0.345 3.056 2.244 0.039 0.058 0.035
0.664 2.875 2.357 0.042 0.062 0.027
0.385 2.892 2.059 0.063 0.093 0.113
0.31 3.303 2.372 0.032 0.048 0.028
0.493 3.115 2.361 0.047 0.07 0.053
0.491 3.021 2.186 0.047 0.069 0.048
0.063 3.619 2.497 0.06 0.089 0.047
0.158 3.141 2.089 0.032 0.048 0.068
0.356 3.049 2.383 0.058 0.086 0.09
0.27 3.181 2.275 0.055 0.082 0.046
0.474 2.913 2.265 0.046 0.068 0.063
0.515 2.709 2.131 0.061 0.09 0.126
0.325 2.947 2.17 0.032 0.048 0.033
0.194 3.296 2.236 0.055 0.081 0.051
0.095 3.363 2.189 0.059 0.088 0.123
0.456 3.233 2.337 0.038 0.056 0.064
0.461 3.126 2.321 0.038 0.056 0.026
0.285 3.214 2.249 0.058 0.086 0.073
0.379 3.198 2.334 0.051 0.075 0.036
0.023 3.448 2.305 0.06 0.09 0.045
-0.052 3.563 2.054 0.06 0.089 0.154
0.039 3.468 2.357 0.058 0.086 0.041
0.502 3.075 2.302 0.037 0.055 0.035
0.256 3.107 2.251 0.056 0.083 0.055
0.244 3.004 2.106 0.061 0.091 0.078
0.115 3.271 2.223 0.062 0.091 0.057
0.188 3.303 2.358 0.053 0.078 0.043
0.389 2.924 2.111 0.032 0.048 0.031
0.523 2.892 2.304 0.042 0.063 0.028
0.575 3.144 2.383 0.032 0.048 0.026
0.565 2.921 2.279 0.038 0.056 0.029
0.083 3.462 2.302 0.064 0.095 0.074
0.246 3.335 2.359 0.048 0.071 0.045
0.263 3.164 2.282 0.053 0.079 0.037
0.4 3.138 2.352 0.048 0.071 0.088
0.264 3.274 2.206 0.051 0.076 0.048
0.037 3.413 2.178 0.061 0.091 0.108
0.486 3.196 2.409 0.032 0.048 0.027
0.478 2.922 2.235 0.037 0.055 0.042
0.356 3.01 2.266 0.059 0.087 0.072
0.631 2.86 2.346 0.035 0.052 0.037
0.488 3.102 2.388 0.048 0.072 0.032
0.23 2.881 2.065 0.062 0.091 0.096
-0.035 3.49 2.236 0.062 0.092 0.043
0.075 3.565 2.403 0.048 0.071 0.042
0.493 2.7 2.124 0.061 0.091 0.089
0.412 3.059 2.152 0.054 0.08 0.083
0.252 3.154 2.123 0.055 0.082 0.054
0.057 3.259 2.15 0.035 0.052 0.029
0.133 3.144 2.084 0.052 0.077 0.073
0.319 3.231 2.349 0.045 0.067 0.068
0.326 2.993 2.228 0.062 0.091 0.071
0.322 2.922 2.051 0.061 0.091 0.099
0.691 2.922 2.505 0.037 0.055 0.025
0.336 3.264 2.302 0.038 0.056 0.043
0.226 3.336 2.192 0.055 0.081 0.034
0.576 2.596 2.171 0.059 0.088 0.064
0.401 3.024 2.315 0.053 0.079 0.037
0.55 2.927 2.35 0.048 0.071 0.039
0.417 2.951 2.231 0.059 0.088 0.085
0.167 3.229 2.102 0.057 0.084 0.091
0.066 3.301 2.157 0.047 0.07 0.046
-0.084 3.57 2.187 0.032 0.048 0.021
0.311 3.199 2.335 0.056 0.083 0.048
0.218 3.232 2.338 0.032 0.048 0.018
-0.007 3.526 2.094 0.046 0.068 0.061
0.689 2.678 2.151 0.032 0.048 0.048
0.219 2.933 2.086 0.036 0.053 0.046
0.335 3.209 2.373 0.045 0.066 0.079
0.181 2.965 2.13 0.041 0.06 0.041
0.475 3.001 2.247 0.052 0.077 0.049
0.702 2.976 2.451 0.034 0.051 0.025
-0.275 3.573 2.16 0.056 0.083 0.124
0.257 3.241 2.177 0.06 0.089 0.06
0.36 2.966 2.21 0.062 0.092 0.06
0.582 3.111 2.516 0.039 0.057 0.026
-0.035 3.236 2.068 0.059 0.088 0.193
0.099 3.395 2.315 0.032 0.048 0.02
0.487 2.851 2.259 0.057 0.084 0.058
0.337 2.989 2.106 0.062 0.092 0.14
0.335 3.167 2.453 0.048 0.072 0.056
0.081 3.307 2.356 0.064 0.094 0.05
0.315 3.093 2.113 0.063 0.093 0.103
0.295 3.488 2.584 0.045 0.067 0.066
0.628 2.535 2.096 0.042 0.062 0.108
0.461 2.997 2.232 0.053 0.078 0.041
0.574 3.074 2.285 0.039 0.057 0.023
0.234 3.241 2.186 0.058 0.087 0.11
-0.017 3.569 2.384 0.059 0.087 0.066
0.3 3.289 2.276 0.032 0.048 0.03
0.354 2.949 2.2 0.051 0.076 0.088
0.415 3.125 2.312 0.032 0.048 0.017
0.299 3.227 2.374 0.032 0.048 0.022
0.462 2.888 2.201 0.055 0.082 0.058
0.356 3.007 2.233 0.032 0.048 0.029
0.35 3.059 2.081 0.048 0.071 0.056
0.142 2.921 2.118 0.042 0.062 0.047
0.039 3.498 2.319 0.032 0.048 0.022
0.364 3.251 2.356 0.044 0.065 0.032
0.488 2.831 2.277 0.057 0.084 0.052
0.497 2.716 2.253 0.065 0.097 0.071
0.393 2.936 2.218 0.032 0.048 0.053
0.061 3.197 2.141 0.055 0.081 0.071
0.178 3.346 2.142 0.061 0.09 0.076
0.593 2.45 2.089 0.045 0.066 0.125
0.841 2.704 2.289 0.032 0.048 0.098
0.426 2.967 2.193 0.056 0.082 0.098
0.29 3.208 2.282 0.057 0.085 0.043
0.38 3.134 2.11 0.052 0.077 0.121
0.322 3.223 2.322 0.045 0.067 0.034
0.151 3.333 2.189 0.062 0.092 0.11
0.264 3.092 2.151 0.063 0.093 0.086
0.324 3.151 2.293 0.054 0.08 0.043
0.51 2.941 2.294 0.043 0.064 0.035
0.436 3.103 2.219 0.032 0.048 0.03
0.356 3.265 2.26 0.041 0.061 0.077
0.197 3.307 2.268 0.032 0.048 0.019
0.177 3.307 2.09 0.057 0.085 0.044
0.472 2.911 2.153 0.032 0.048 0.046
0.478 3.064 2.299 0.045 0.066 0.035
0.228 3.339 2.324 0.051 0.075 0.034
0.791 2.609 2.112 0.032 0.048 0.044
0.476 3.056 2.347 0.047 0.07 0.053
0.427 2.895 2.234 0.057 0.084 0.081
0.387 2.967 2.166 0.059 0.088 0.083
0.481 2.899 2.184 0.056 0.083 0.104
0.338 3.187 2.319 0.054 0.079 0.035
0.146 3.545 2.32 0.032 0.048 0.015
0.331 3.051 2.138 0.062 0.091 0.058
-0.23 3.843 2.144 0.039 0.058 0.032
0.448 3.057 2.274 0.044 0.065 0.048
0.253 3.203 2.284 0.054 0.08 0.052
0.3 2.873 2.162 0.032 0.048 0.026
-0.102 3.726 2.294 0.062 0.092 0.034
0.599 3.017 2.408 0.034 0.05 0.024
0.339 3.253 2.24 0.053 0.078 0.093
0.245 3.339 2.196 0.032 0.048 0.026
0.639 2.788 2.232 0.047 0.069 0.055
0.189 3.422 2.419 0.05 0.075 0.038
0.249 3.12 2.147 0.058 0.085 0.075
0.17 3.406 2.288 0.053 0.078 0.039
0.074 3.1 2.075 0.063 0.094 0.106
0.492 3.094 2.323 0.032 0.048 0.031
0.406 3.255 2.522 0.032 0.048 0.032
0.353 3.118 2.355 0.057 0.084 0.031
0.388 3.021 2.298 0.05 0.075 0.049
0.082 3.62 2.298 0.058 0.086 0.032
0.341 3.402 2.49 0.047 0.07 0.062
0.405 2.877 2.231 0.062 0.092 0.056
0.16 3.353 2.212 0.063 0.094 0.063
0.511 3.043 2.184 0.048 0.071 0.118
0.537 2.531 2.24 0.055 0.081 0.07
0.146 3.4 2.265 0.055 0.081 0.049
0.14 3.205 2.12 0.059 0.088 0.105
0.424 2.984 2.065 0.057 0.084 0.111
0.429 3.158 2.393 0.05 0.075 0.038
0.154 3.325 2.258 0.061 0.091 0.043
0.339 2.936 2.247 0.047 0.07 0.08
0.299 3.049 2.175 0.061 0.09 0.059
0.604 2.731 2.134 0.049 0.072 0.059
0.233 3.22 2.362 0.056 0.082 0.029
0.019 3.528 2.207 0.064 0.095 0.068
0.312 3.039 2.115 0.063 0.094 0.099
0.035 3.423 2.339 0.054 0.081 0.049
0.533 2.952 2.257 0.05 0.074 0.039
0.15 3.311 2.136 0.032 0.048 0.019
0.205 3.159 2.171 0.06 0.089 0.089
0.238 3.258 2.267 0.062 0.091 0.08
0.202 2.918 2.11 0.032 0.048 0.048
0.335 3.035 2.121 0.063 0.093 0.166
0.758 2.679 2.26 0.032 0.048 0.039
-0.297 3.67 2.147 0.051 0.075 0.049
0.476 3.128 2.346 0.04 0.059 0.04
-0.062 3.621 2.247 0.064 0.094 0.042
0.347 3.275 2.295 0.044 0.065 0.027
0.428 3.105 2.311 0.04 0.059 0.052
0.073 3.357 2.083 0.035 0.052 0.038
0.443 3.291 2.448 0.032 0.048 0.015
0.442 3.021 2.428 0.041 0.06 0.036
0.004 3.639 2.328 0.041 0.06 0.083
0.278 2.892 2.138 0.052 0.076 0.104
0.088 2.99 2.061 0.06 0.089 0.085
0.739 2.632 2.195 0.038 0.057 0.091
0.425 3.203 2.296 0.049 0.073 0.04
0.432 3.127 2.199 0.032 0.048 0.029
0.357 3.265 2.324 0.038 0.057 0.023
0.083 3.503 2.32 0.064 0.095 0.049
0.083 3.516 2.181 0.059 0.087 0.05
0.59 2.927 2.21 0.036 0.054 0.071
0.65 2.87 2.374 0.032 0.048 0.031
-0.007 3.688 2.256 0.056 0.083 0.042
0.193 3.108 2.283 0.062 0.092 0.045
0.097 3.323 2.388 0.062 0.093 0.054
0.114 3.391 2.134 0.061 0.09 0.1
-0.057 3.388 2.285 0.06 0.089 0.039
0.595 3.047 2.489 0.033 0.049 0.029
0.604 2.992 2.447 0.043 0.064 0.036
0.332 3.567 2.406 0.032 0.048 0.02
0.531 2.921 2.262 0.037 0.055 0.028
0.452 3.068 2.254 0.044 0.065 0.042
0.406 3.229 2.424 0.041 0.06 0.029
0.359 2.982 2.203 0.044 0.065 0.035
-0.026 3.443 2.247 0.057 0.084 0.1
-0.168 3.76 2.351 0.032 0.048 0.022
0.499 2.777 2.134 0.057 0.085 0.07
0.067 3.36 2.153 0.053 0.079 0.049
0.149 3.232 2.266 0.056 0.083 0.097
0.751 2.901 2.462 0.034 0.051 0.028
0.203 3.235 2.308 0.055 0.081 0.03
0.136 3.099 2.187 0.054 0.08 0.057
0.336 3.347 2.237 0.037 0.055 0.035
0.133 3.449 2.393 0.062 0.092 0.04
0.338 3.243 2.222 0.038 0.056 0.03
0.349 2.978 2.145 0.053 0.078 0.079
0.419 3.172 2.362 0.032 0.048 0.02
0.677 2.562 2.229 0.045 0.066 0.038
0.344 3.072 2.323 0.061 0.09 0.043
0.514 3.136 2.479 0.032 0.048 0.019
0.137 3.529 2.381 0.034 0.051 0.026
0.17 3.036 2.196 0.059 0.087 0.047
0.167 3.278 2.381 0.032 0.048 0.034
0.18 3.287 2.236 0.052 0.077 0.035
0.208 3.268 2.31 0.055 0.082 0.057
0.82 2.397 2.108 0.046 0.069 0.142
0.097 3.478 2.407 0.032 0.048 0.018
0.35 3.2 2.3 0.055 0.081 0.057
0.222 3.264 2.24 0.054 0.08 0.036
0.431 3.259 2.431 0.032 0.048 0.014
0.271 3.393 2.356 0.035 0.052 0.03
0.351 3.124 2.182 0.059 0.087 0.087
-0.073 3.228 2.173 0.045 0.067 0.042
0.181 3.205 2.193 0.059 0.088 0.055
0.49 3.208 2.302 0.034 0.05 0.019
0.348 3.169 2.279 0.039 0.058 0.031
0.101 3.163 2.069 0.059 0.088 0.09
0.041 3.107 2.137 0.064 0.095 0.048
0.185 3.049 2.089 0.057 0.084 0.079
0.391 2.991 2.21 0.042 0.063 0.051
0.057 3.657 2.299 0.032 0.048 0.013
0.332 3.179 2.264 0.054 0.08 0.048
0.331 3.173 2.373 0.038 0.056 0.029
0.254 3.247 2.232 0.049 0.073 0.04
0.148 3.26 2.236 0.06 0.089 0.052
0.542 2.74 2.104 0.049 0.073 0.055
0.284 3.173 2.286 0.032 0.048 0.021
0.366 3.274 2.388 0.033 0.048 0.021
0.234 3.131 2.187 0.046 0.068 0.044
0.408 3.069 2.319 0.048 0.071 0.038
0.347 2.927 2.161 0.049 0.072 0.057
0.36 3.319 2.292 0.032 0.048 0.022
0.411 2.995 2.204 0.051 0.076 0.062
0.389 2.625 2.136 0.056 0.082 0.158
0.557 2.954 2.294 0.032 0.048 0.027
0.483 3.205 2.389 0.044 0.066 0.025
0.607 2.762 2.224 0.05 0.073 0.099
0.36 3.212 2.274 0.054 0.079 0.05
0.467 3.034 2.272 0.052 0.077 0.048
0.59 2.963 2.421 0.037 0.055 0.043
0.441 3.252 2.376 0.039 0.057 0.025
0.384 2.828 2.059 0.059 0.088 0.094
0.684 2.749 2.234 0.044 0.066 0.051
0.416 2.938 2.17 0.061 0.09 0.075
0.521 2.917 2.178 0.052 0.077 0.072
0.245 3.264 2.413 0.061 0.09 0.061
0.357 3.001 2.219 0.062 0.092 0.078
0.449 3.008 2.37 0.055 0.081 0.052
0.652 2.971 2.372 0.04 0.06 0.046
0.193 3.42 2.165 0.056 0.083 0.069
0.572 2.831 2.242 0.052 0.076 0.089
0.39 2.91 2.096 0.05 0.074 0.07
0.872 2.733 2.392 0.032 0.048 0.035
-0.093 3.651 2.446 0.057 0.084 0.035
0.442 3.217 2.392 0.032 0.048 0.024
0.341 3.164 2.395 0.053 0.078 0.074
0.141 3.32 2.151 0.051 0.076 0.056
-0.225 3.649 2.203 0.039 0.058 0.029
0.38 3.304 2.452 0.032 0.048 0.019
0.281 3.126 2.129 0.063 0.094 0.1
0.306 3.016 2.233 0.06 0.09 0.056
0.183 3.298 2.279 0.055 0.082 0.09
0.296 3.205 2.453 0.059 0.088 0.049
-0.034 3.423 2.153 0.032 0.048 0.025
0.28 3.403 2.335 0.053 0.078 0.034
0.347 3.113 2.209 0.059 0.087 0.086
0.636 2.582 2.127 0.032 0.048 0.047
0.68 2.842 2.463 0.043 0.064 0.03
0.157 3.234 2.288 0.049 0.072 0.035
0.161 3.035 2.123 0.059 0.088 0.052
-0.091 3.656 2.243 0.055 0.081 0.034
0.635 2.561 2.161 0.032 0.048 0.035
0.033 3.191 2.09 0.062 0.091 0.101
0.499 3.049 2.387 0.032 0.048 0.023
0.247 3.135 2.278 0.054 0.08 0.047
0.577 2.568 2.051 0.043 0.064 0.122
0.525 2.756 2.194 0.032 0.048 0.023
0.216 3.328 2.425 0.039 0.058 0.032
0.618 2.99 2.24 0.032 0.048 0.034
0.361 3.241 2.41 0.036 0.054 0.032
0.094 3.541 2.086 0.061 0.09 0.122
0.221 3.22 2.276 0.055 0.081 0.032
0.163 3.25 2.323 0.049 0.073 0.034
0.561 2.942 2.361 0.032 0.048 0.026
0.455 2.746 2.181 0.063 0.093 0.093
0.238 3.407 2.265 0.032 0.048 0.015
-0.04 3.542 2.21 0.032 0.048 0.022
0.477 2.913 2.238 0.056 0.084 0.048
0.409 2.955 2.151 0.057 0.084 0.09
0.742 2.667 2.258 0.032 0.048 0.032
0.585 3.083 2.39 0.032 0.048 0.03
0.235 3.228 2.417 0.064 0.095 0.061
0.109 3.392 2.249 0.049 0.073 0.039
0 3.368 2.101 0.061 0.09 0.057
0.51 3.093 2.38 0.047 0.069 0.029
0.251 2.963 2.074 0.032 0.048 0.038
-0.044 3.4 2.206 0.061 0.091 0.036
0.47 3.117 2.364 0.032 0.048 0.017
0.177 3.402 2.262 0.033 0.048 0.029
0.665 2.494 2.252 0.052 0.077 0.049
0.299 3.079 2.251 0.062 0.092 0.074
0.365 2.99 2.288 0.062 0.092 0.069
0.184 3.048 2.107 0.032 0.048 0.034
0.38 3.157 2.25 0.051 0.075 0.049
0.281 3.213 2.31 0.057 0.084 0.029
0.231 3.377 2.113 0.044 0.065 0.035
0.561 2.874 2.142 0.048 0.071 0.041
0.249 3.013 2.213 0.05 0.074 0.126
0.032 3.451 2.088 0.05 0.074 0.091
0.459 2.712 2.058 0.032 0.048 0.045
0.401 3.187 2.314 0.032 0.048 0.093
0.573 3.077 2.311 0.034 0.051 0.022
0.339 3.136 2.216 0.057 0.085 0.054
0.414 3.206 2.264 0.041 0.061 0.03
-0.022 3.352 2.185 0.054 0.08 0.041
-0.028 3.487 2.177 0.045 0.067 0.047
0.519 2.897 2.159 0.032 0.048 0.038
0.644 2.72 2.318 0.043 0.064 0.044
0.688 2.558 2.253 0.044 0.065 0.051
0.221 3.12 2.117 0.037 0.054 0.057
0.386 3.264 2.348 0.043 0.064 0.046
0.432 2.973 2.309 0.057 0.084 0.07
0.106 3.464 2.2 0.061 0.091 0.042
0.453 2.672 2.156 0.055 0.082 0.055
0.014 3.519 2.376 0.038 0.057 0.037
0.377 3.056 2.124 0.051 0.076 0.045
0.358 3.258 2.358 0.045 0.067 0.023
0.29 3.12 2.266 0.063 0.093 0.071
0.015 3.417 2.299 0.057 0.084 0.035
0.093 3.188 2.069 0.059 0.087 0.064
0.671 2.396 2.063 0.032 0.048 0.061
0.353 2.936 2.063 0.047 0.07 0.061
0.512 2.995 2.249 0.032 0.048 0.034
0.705 2.614 2.324 0.034 0.05 0.028
0.552 2.805 2.251 0.039 0.058 0.046
0.482 2.86 2.254 0.039 0.058 0.041
0.351 3.217 2.373 0.054 0.08 0.024
0.258 3.27 2.235 0.051 0.076 0.06
0.205 3.358 2.246 0.035 0.052 0.025
0.026 3.29 2.145 0.063 0.093 0.08
0.225 3.201 2.205 0.036 0.054 0.031
0.106 3.251 2.279 0.046 0.068 0.032
0.733 2.626 2.187 0.033 0.049 0.062
0.139 3.296 2.228 0.052 0.077 0.041
0.024 3.557 2.099 0.042 0.062 0.067
0.606 2.93 2.341 0.032 0.048 0.021
0.42 3.14 2.33 0.044 0.066 0.024
0.446 2.751 2.18 0.046 0.069 0.102
0.22 3.192 2.289 0.037 0.055 0.026
0.148 3.107 2.231 0.062 0.091 0.053
0.666 2.733 2.322 0.041 0.06 0.031
-0.206 3.534 2.296 0.044 0.066 0.041
0.415 2.935 2.202 0.056 0.083 0.073
0.354 3.216 2.41 0.032 0.048 0.024
0.434 3.144 2.312 0.032 0.048 0.026
0.01 3.39 2.195 0.032 0.048 0.032
0.184 3.153 2.107 0.039 0.058 0.088
0.602 2.66 2.245 0.049 0.073 0.06
0.213 3.311 2.2 0.035 0.052 0.025
-0.128 3.535 2.062 0.06 0.089 0.182
0.136 3.174 2.074 0.051 0.075 0.158
-0.283 3.825 2.108 0.061 0.091 0.084
0.62 2.89 2.411 0.032 0.048 0.03
0.194 3.101 2.129 0.034 0.051 0.04
0.479 2.977 2.189 0.038 0.056 0.067
0.544 2.827 2.241 0.047 0.07 0.065
0.187 3.418 2.174 0.039 0.058 0.045
0.326 2.836 2.131 0.06 0.089 0.139
0.232 3.372 2.439 0.032 0.048 0.044
0.147 3.107 2.104 0.055 0.081 0.148
0.284 2.972 2.265 0.045 0.066 0.042
0.29 3.408 2.276 0.05 0.074 0.025
0.362 3.187 2.361 0.032 0.048 0.029
0.089 3.275 2.091 0.045 0.067 0.071
0.229 2.97 2.108 0.043 0.064 0.079
0.115 3.335 2.244 0.062 0.092 0.058
0.315 3.137 2.064 0.054 0.08 0.114
-0.05 3.484 2.218 0.054 0.08 0.031
0.169 3.352 2.434 0.061 0.091 0.04
0.142 3.494 2.246 0.045 0.066 0.033
0.415 3.221 2.244 0.047 0.069 0.033
0.269 3.209 2.055 0.04 0.059 0.052
0.777 2.315 2.133 0.036 0.053 0.097
0.533 3.108 2.34 0.032 0.048 0.021
0.196 3.055 2.161 0.05 0.073 0.039
0.125 3.251 2.28 0.051 0.075 0.064
0.426 3.024 2.237 0.034 0.05 0.033
0.468 2.936 2.247 0.039 0.058 0.05
0.42 3.236 2.411 0.032 0.048 0.017
0.617 2.886 2.235 0.032 0.048 0.026
0.136 3.616 2.294 0.032 0.048 0.012
0.535 3.033 2.341 0.032 0.048 0.043
0.045 3.423 2.299 0.063 0.093 0.08
0.036 3.296 2.112 0.047 0.07 0.051
0.113 3.2 2.219 0.049 0.072 0.041
0.165 3.275 2.311 0.045 0.067 0.048
0.588 2.574 2.17 0.052 0.077 0.097
0.336 2.958 2.109 0.046 0.068 0.059
0.454 3.182 2.466 0.032 0.048 0.022
0.114 3.325 2.357 0.038 0.056 0.037
0.561 2.71 2.099 0.032 0.048 0.06
0.267 3.311 2.381 0.049 0.073 0.032
0.448 2.968 2.304 0.032 0.048 0.017
0.575 2.686 2.104 0.05 0.074 0.076
0.057 3.502 2.242 0.046 0.068 0.051
0.254 3.158 2.152 0.058 0.085 0.091
0.472 2.77 2.146 0.035 0.052 0.067
0.306 3.104 2.412 0.055 0.081 0.049
0.355 3.269 2.338 0.032 0.048 0.025
0.3 2.931 2.189 0.062 0.092 0.071
0.378 2.862 2.242 0.053 0.078 0.058
0.383 3.153 2.121 0.032 0.048 0.051
0.497 2.892 2.306 0.049 0.072 0.08
0.442 2.941 2.118 0.044 0.066 0.064
-0.064 3.585 2.334 0.042 0.062 0.053
0.34 3.205 2.331 0.054 0.08 0.072
0.024 3.378 2.241 0.056 0.083 0.074
0.46 3.15 2.403 0.032 0.048 0.033
0.122 3.269 2.199 0.032 0.048 0.035
-0.172 3.586 2.191 0.051 0.075 0.08
0.18 3.4 2.278 0.032 0.048 0.029
0.014 3.169 2.225 0.052 0.077 0.049
0.382 3.121 2.278 0.048 0.071 0.03
0.584 2.927 2.396 0.032 0.048 0.026
0.392 3.095 2.317 0.032 0.048 0.029
0.111 2.977 2.061 0.052 0.077 0.092
0.206 3.268 2.353 0.057 0.084 0.048
0.34 3.053 2.087 0.055 0.082 0.098
0.698 2.87 2.427 0.032 0.048 0.023
0.402 3.139 2.311 0.047 0.07 0.039
-0.111 3.518 2.361 0.048 0.071 0.08
0.292 2.953 2.091 0.047 0.07 0.068
0.502 2.88 2.182 0.048 0.072 0.066
0.097 3.384 2.322 0.054 0.08 0.038
